iter	TotalF1:average=Macro	MultiClass
0	0.4336915767	1.093754371
1	0.4593791521	1.088012414
2	0.4693647476	1.082598147
3	0.4653494835	1.077850544
4	0.4683641837	1.073498239
5	0.4643094529	1.068712027
6	0.4712482248	1.06508522
7	0.4764900297	1.061757508
8	0.4752104452	1.05855062
9	0.4761956586	1.055900767
10	0.4777895902	1.052512778
11	0.4792881788	1.05022375
12	0.4807642506	1.047794406
13	0.481472463	1.045360341
14	0.481612747	1.043492738
15	0.4828722381	1.041457851
16	0.481842331	1.039783889
17	0.4827751655	1.038150862
18	0.4825116294	1.036346961
19	0.4814091454	1.034261135
20	0.4840508649	1.032305205
21	0.4839623515	1.030001138
22	0.4859170978	1.027896044
23	0.4887841912	1.026412104
24	0.4877727466	1.025190561
25	0.4886466991	1.024143421
26	0.4884969624	1.022510517
27	0.4904038333	1.021512413
28	0.4915081417	1.020660319
29	0.4926352327	1.019400246
30	0.4930354993	1.018082642
31	0.494215111	1.016979344
32	0.4947804412	1.016113973
33	0.4950419528	1.0151737
34	0.4961958238	1.013891345
35	0.4958435475	1.013237858
36	0.4953894952	1.01180229
37	0.4964942093	1.0105931
38	0.4978997248	1.009923089
39	0.4979705436	1.008918994
40	0.50034961	1.007704674
41	0.5005395989	1.006896599
42	0.5007805499	1.006297699
43	0.5014689845	1.005348995
44	0.5022224244	1.004798747
45	0.5019890779	1.003968023
46	0.502865916	1.003156638
47	0.5036026762	1.002551918
48	0.5044495374	1.002135268
49	0.5047303316	1.00140349
50	0.504215191	1.000680224
51	0.5045489595	1.00000764
52	0.5061532093	0.9994427006
53	0.5058148617	0.9986813099
54	0.5069090849	0.9979874848
55	0.5054802409	0.9976145884
56	0.5065112952	0.9969948029
57	0.5065673948	0.9964956666
58	0.5075001056	0.9956921302
59	0.507338612	0.9951124232
60	0.5064536084	0.9947267977
61	0.508024431	0.9942593836
62	0.5080390421	0.9938855347
63	0.5092167128	0.9931533017
64	0.5098152207	0.9923972647
65	0.511217468	0.9920011801
66	0.5120188073	0.99153544
67	0.5114411932	0.9909913885
68	0.5124516586	0.9906716291
69	0.5137677843	0.99001387
70	0.513338132	0.9894757136
71	0.513055971	0.9889554094
72	0.514028818	0.9886142284
73	0.5149833722	0.9883192852
74	0.5140829546	0.9877323552
75	0.5150155005	0.9872531318
76	0.5152481388	0.9868273938
77	0.5144019519	0.9860074824
78	0.5161310991	0.9855226605
79	0.5178847959	0.9851384072
80	0.5171768732	0.9849479001
81	0.5180460644	0.9843564589
82	0.5181634866	0.9839112793
83	0.5200772057	0.983413653
84	0.5188319253	0.9827486
85	0.5183219507	0.9822516753
86	0.5193196482	0.9817035192
87	0.5198108368	0.9813095347
88	0.5199539834	0.9809029015
89	0.5207483673	0.9804750716
90	0.5207942503	0.9801817362
91	0.5207574999	0.9798126473
92	0.5206511255	0.9792284384
93	0.522228898	0.9788524979
94	0.5232938105	0.9785099857
95	0.5242525469	0.9782157687
96	0.5231876727	0.9779677793
97	0.5253174389	0.9775033936
98	0.5255094892	0.9771730317
99	0.5267384026	0.9768558582
100	0.5274832218	0.9764969939
101	0.5272665137	0.9761318333
102	0.5276075332	0.97585815
103	0.5286945308	0.9754682587
104	0.5280313216	0.9750759892
105	0.5280429514	0.9745089003
106	0.528484095	0.9742614921
107	0.528751749	0.9736042087
108	0.5298226631	0.9732578675
109	0.5300631524	0.9728882843
110	0.5309354332	0.9725422203
111	0.5309319484	0.9718253394
112	0.5316579498	0.9714371634
113	0.5315943137	0.9711221231
114	0.5320853549	0.9708351315
115	0.5322484245	0.9705205865
116	0.5325061634	0.9701636129
117	0.5339024959	0.9698284933
118	0.5340141047	0.9694368425
119	0.5342807722	0.9688688343
120	0.5344461867	0.9684325635
121	0.5351712399	0.9679722148
122	0.5349245802	0.9675648642
123	0.5347860769	0.967248365
124	0.5354181593	0.9669348413
125	0.5370937343	0.9665679947
126	0.5367120362	0.9659974167
127	0.536821036	0.9657447522
128	0.5371543899	0.9654838367
129	0.5379729975	0.9650361532
130	0.539323906	0.9645501296
131	0.5395865523	0.9642860093
132	0.5399184134	0.9639675411
133	0.5401624604	0.9637301793
134	0.5404147565	0.9634447907
135	0.5404184202	0.9630624378
136	0.5395769745	0.9627882186
137	0.5410058402	0.9624271798
138	0.5420733534	0.9619534099
139	0.5423543752	0.9614608487
140	0.5436756015	0.9611093856
141	0.5455000449	0.96057871
142	0.5451594745	0.9603683819
143	0.5457361442	0.960002938
144	0.5457011984	0.9596587136
145	0.5460714239	0.9593841444
146	0.5468854291	0.9588496505
147	0.5476825214	0.9585370663
148	0.5476343186	0.9581875337
149	0.5474876292	0.9575944321
150	0.5474940678	0.9573495305
151	0.5481255179	0.957001372
152	0.54929598	0.9565514115
153	0.5500491455	0.9559425034
154	0.5489550223	0.9555891959
155	0.5497385949	0.9552128573
156	0.5508787195	0.9548970608
157	0.5505624112	0.9545655857
158	0.5507418671	0.9541424334
159	0.5506886756	0.9538458839
160	0.5516552315	0.9534391909
161	0.5520607104	0.9532440021
162	0.5514024336	0.9528731009
163	0.552059446	0.9526882243
164	0.5505524373	0.9522172746
165	0.5511919447	0.9518138971
166	0.5520615016	0.9514431465
167	0.5525898956	0.9510916113
168	0.5527677145	0.9507091577
169	0.5533692543	0.9503690681
170	0.5542733756	0.9499965638
171	0.5553703359	0.9495781413
172	0.5550990093	0.9492402533
173	0.5548451259	0.9488785077
174	0.5557364292	0.9486537982
175	0.5564293862	0.9482209543
176	0.5565759088	0.9478936958
177	0.5569521071	0.9475231608
